Word;Count;Percentage (%)
words;32;5.66372
counting;26;4.60177
the;18;3.18584
hello;17;3.00885
Слова;13;2.30088
again;12;2.12389
повторяются;12;2.12389
снова;10;1.76991
слов;10;1.76991
world;10;1.76991
file;9;1.59292
test;8;1.41593
Подсчёт;8;1.41593
program;8;1.41593
подсчёт;8;1.41593
fox;7;1.23894
dog;7;1.23894
letters;7;1.23894
и;7;1.23894
слова;7;1.23894
repeat;7;1.23894
repeated;7;1.23894
testing;7;1.23894
jumps;6;1.06195
simple;6;1.06195
this;6;1.06195
your;6;1.06195
Простые;6;1.06195
букв;6;1.06195
carefully;6;1.06195
перепрыгивает;5;0.884956
Тщательный;5;0.884956
через;5;0.884956
примеры;5;0.884956
ленивую;5;0.884956
sentences;5;0.884956
and;5;0.884956
over;5;0.884956
lazy;5;0.884956
собаку;5;0.884956
examples;5;0.884956
appear;4;0.707965
этом;4;0.707965
программы;4;0.707965
программу;4;0.707965
файл;4;0.707965
в;4;0.707965
Лиса;4;0.707965
in;4;0.707965
is;3;0.530973
тестирование;3;0.530973
лиса;3;0.530973
some;3;0.530973
times;3;0.530973
для;3;0.530973
Быстрая;3;0.530973
Тестирование;3;0.530973
файле;3;0.530973
коричневая;3;0.530973
quick;3;0.530973
Тщательно;3;0.530973
easier;3;0.530973
раз;3;0.530973
предложений;3;0.530973
make;3;0.530973
brown;3;0.530973
много;2;0.353982
вашу;2;0.353982
тестируйте;2;0.353982
помогают;2;0.353982
по;2;0.353982
Некоторые;2;0.353982
Этот;2;0.353982
Привет;2;0.353982
это;2;0.353982
подсчитываем;2;0.353982
собака;2;0.353982
many;2;0.353982
are;2;0.353982
повторяющиеся;2;0.353982
help;2;0.353982
встречаются;2;0.353982
тоже;2;0.353982
repeatedly;2;0.353982
всему;2;0.353982
упрощают;2;0.353982
мир;2;0.353982
thoroughly;2;0.353982
throughout;2;0.353982
файлу;2;0.353982
несколько;1;0.176991
Тестируем;1;0.176991
показывает;1;0.176991
повторяющихся;1;0.176991
некоторые;1;0.176991
считаются;1;0.176991
часто;1;0.176991
цифры;1;0.176991
учитываются;1;0.176991
уникальные;1;0.176991
точные;1;0.176991
тестовом;1;0.176991
тестирования;1;0.176991
теста;1;0.176991
тест;1;0.176991
тексте;1;0.176991
помогает;1;0.176991
содержит;1;0.176991
результаты;1;0.176991
прыгает;1;0.176991
проще;1;0.176991
проверять;1;0.176991
проверки;1;0.176991
привет;1;0.176991
препинания;1;0.176991
предложения;1;0.176991
появляются;1;0.176991
a;1;0.176991
matters;1;0.176991
like;1;0.176991
large;1;0.176991
high;1;0.176991
helps;1;0.176991
fun;1;0.176991
frequently;1;0.176991
files;1;0.176991
fast;1;0.176991
everything;1;0.176991
enough;1;0.176991
contains;1;0.176991
accurate;1;0.176991
multiple;1;0.176991
9;1;0.176991
8;1;0.176991
789;1;0.176991
7;1;0.176991
6;1;0.176991
5;1;0.176991
456;1;0.176991
4;1;0.176991
3;1;0.176991
2;1;0.176991
123;1;0.176991
1;1;0.176991
Цифры;1;0.176991
количество;1;0.176991
знаков;1;0.176991
достаточно;1;0.176991
делают;1;0.176991
высоко;1;0.176991
всего;1;0.176991
вроде;1;0.176991
весело;1;0.176991
важен;1;0.176991
быстро;1;0.176991
большой;1;0.176991
бежит;1;0.176991
мы;1;0.176991
Файлы;1;0.176991
Тестовый;1;0.176991
0;1;0.176991
Всего;1;0.176991
unique;1;0.176991
to;1;0.176991
shows;1;0.176991
runs;1;0.176991
results;1;0.176991
punctuation;1;0.176991
numbers;1;0.176991
n;1;0.176991
